"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2213","GET - Get User test","chromium","2026-07-03","passed","2026-07-03","","api/users.api.schema.spec.ts","",""
"","1076","GET -- Get location data test","chromium","2026-07-03","passed","2026-07-03","","api/amadeus.oauth2.spec.ts","",""
"","2237","invalid login test with excel data -invalid@open.com - wrongPassword123","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","2371","@regression Home Page Headers test with fixtures","chromium","2026-07-03","passed","2026-07-03","","homepagefix.spec.ts","",""
"","4461","Add Product to cart test -iMac","chromium","2026-07-03","passed","2026-07-03","","productPage.spec.ts","",""
"","2516","verify all footers exist on the page test","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","1972","Verify registration page title test","chromium","2026-07-03","passed","2026-07-03","","registration.spec.ts","",""
"","2778","Home Page Headers test","chromium","2026-07-03","passed","2026-07-03","","homepage.spec.ts","",""
"","3535","verify each product details test for -iMac","chromium","2026-07-03","passed","2026-07-03","","productPage.spec.ts","",""
"","339","Mock the search data API","chromium","2026-07-03","passed","2026-07-03","","api/intercept.spec.ts","",""
"","710","GET - Get All Users test","chromium","2026-07-03","passed","2026-07-03","","api/users.api.schema.spec.ts","",""
"","2482","log out link exist test with fixtures","chromium","2026-07-03","passed","2026-07-03","","homepagefix.spec.ts","",""
"","2180","@sanity invalid login test with - - pw1234","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","2872","verify searchResults count - macbook - MacBook Pro","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","2254","@sanity invalid login test with -pwtestbatch@open.com -","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","1006","Update a User Test","chromium","2026-07-03","passed","2026-07-03","","api/users.individual.spec.ts","",""
"","2323","invalid login test with excel data -test@automation.com - pw1234","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","2362","invalid login test with json data -pwbatchtest@open.com - wrong@123","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","1846","Login Page title test","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","2303","Home Page title test","chromium","2026-07-03","passed","2026-07-03","","homepage.spec.ts","",""
"","4036","verify user navigate to product page - imac - iMac","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","2689","verify searchResults count - imac - iMac","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","3552","Generate Product information and full details,","chromium","2026-07-03","passed","2026-07-03","","productPage.spec.ts","",""
"","2461","verify all footers exist on the page test","chromium","2026-07-03","passed","2026-07-03","","productPage.spec.ts","",""
"","2794","@sanity Enter New User Info test Entering for - kristi - shain","chromium","2026-07-03","passed","2026-07-03","","registration.spec.ts","",""
"","24852","@regression Verify shopping cart product information test","chromium","2026-07-03","passed","2026-07-03","","cartPage.spec.ts","",""
"","4050","verify user navigate to product page - iphone - iPhone","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","309","GoRestAPI - Verify Update User - PUT call test","chromium","2026-07-03","passed","2026-07-03","","api/users.api.spec.ts","",""
"","4160","verify each product details test for -iPhone","chromium","2026-07-03","passed","2026-07-03","","productPage.spec.ts","",""
"","320","DELETE API -- Delete User test","chromium","2026-07-03","passed","2026-07-03","e2e GoRest API CRUD Operations Tests ","api/users.api.seprate.spec.ts","",""
"","3577","verify user navigate to product page - macbook - MacBook Air","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","377","GoRestAPI - Verify Create User - POST call test","chromium","2026-07-03","passed","2026-07-03","","api/users.api.spec.ts","",""
"","2904","verify searchResults count - macbook - MacBook Air","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","4490","Add Product to cart test -iPhone","chromium","2026-07-03","passed","2026-07-03","","productPage.spec.ts","",""
"","2077","@sanity verify logo and footer on product page test","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","2346","invalid login test with json data -invalidUser@open.com -","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","2048","invalid login test with excel data - - !Spring123","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","1840","verify Forgot Password link test","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","2495","verify all footers exist on the page test","chromium","2026-07-03","passed","2026-07-03","","homepagefix.spec.ts","",""
"","1801","verify all footers exist on the page test","chromium","2026-07-03","passed","2026-07-03","","registration.spec.ts","",""
"","4192","verify each product details test for -MacBook Pro","chromium","2026-07-03","passed","2026-07-03","","productPage.spec.ts","",""
"","4294","verify each product details test for -iPod Classic","chromium","2026-07-03","passed","2026-07-03","","productPage.spec.ts","",""
"","337","POST API = Create a User test","chromium","2026-07-03","passed","2026-07-03","e2e GoRest API CRUD Operations Tests ","api/users.api.seprate.spec.ts","",""
"","3778","verify user navigate to product page - macbook - MacBook Pro","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","1697","@regression verify Forgot Password link with fixture test","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","2945","verify searchResults count - iphone - iPhone","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","1836","@sanityverify all footers exist on the page test","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","2753","verify logo and footer on home page test","chromium","2026-07-03","passed","2026-07-03","","homepagefix.spec.ts","",""
"","1706","@sanity Login Page with fixture test","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","390","GoRestAPI - Verify Create User GET call test","chromium","2026-07-03","passed","2026-07-03","","api/users.api.spec.ts","",""
"","344","GoRestAPI - Verify Delete User - DELETE call test","chromium","2026-07-03","passed","2026-07-03","","api/users.api.spec.ts","",""
"","2870","@sanity Enter New User Info test Entering for - Roy - han","chromium","2026-07-03","passed","2026-07-03","","registration.spec.ts","",""
"","2504","verify User able to logIn Successfully with fixture test","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","4385","Add Product to cart test -MacBook Pro","chromium","2026-07-03","passed","2026-07-03","","productPage.spec.ts","",""
"","2762","Intercept and log requests","chromium","2026-07-03","passed","2026-07-03","","api/intercept.spec.ts","",""
"","2406","verify logo and footer on product page test","chromium","2026-07-03","passed","2026-07-03","","search.spec.ts","",""
"","2123","invalid login test with json data -wrong@open.com - wrong@123","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","3174","Login using invalid credentials with data driven with fixture test","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","2580","log out link exist test","chromium","2026-07-03","passed","2026-07-03","","homepage.spec.ts","",""
"","4948","Add Product to cart test -iPod Classic","chromium","2026-07-03","passed","2026-07-03","","productPage.spec.ts","",""
"","841","Create a User Test","chromium","2026-07-03","passed","2026-07-03","","api/users.individual.spec.ts","",""
"","1048","Delete a User Test","chromium","2026-07-03","passed","2026-07-03","","api/users.individual.spec.ts","",""
"","2245","@sanity invalid login test with -invalid@open.com - wrongPassword123","chromium","2026-07-03","passed","2026-07-03","","loginpagefixture.spec.ts","",""
"","23831","Verify shopping cart product information test","chromium","2026-07-03","passed","2026-07-03","","cartPage.spec.ts","",""
"","1769","verify logo and footer on product page test","chromium","2026-07-03","passed","2026-07-03","","registration.spec.ts","",""
"","4265","verify searched product images count test","chromium","2026-07-03","passed","2026-07-03","","productPage.spec.ts","",""
"","2967","verify User able to logIn Successfully test","chromium","2026-07-03","passed","2026-07-03","","loginpage.spec.ts","",""
"","318","GET API = get all users test","chromium","2026-07-03","passed","2026-07-03","e2e GoRest API CRUD Operations Tests ","api/users.api.seprate.spec.ts","",""
"","2479","verify logo and footer on product page test","chromium","2026-07-03","passed","2026-07-03","","productPage.spec.ts","",""
"","2427","@sanity Home Page title test with fixtures","chromium","2026-07-03","passed","2026-07-03","","homepagefix.spec.ts","",""
"","405","PUT API = Update User test","chromium","2026-07-03","passed","2026-07-03","e2e GoRest API CRUD Operations Tests ","api/users.api.seprate.spec.ts","",""
"","2619","@sanity Enter New User Info test Entering for - ema - wotson","chromium","2026-07-03","passed","2026-07-03","","registration.spec.ts","",""
