"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3863","verify user navigate to product page - imac - iMac","chromium","2026-07-05","passed","2026-07-05","","search.spec.ts","",""
"","3086","verify searchResults count - imac - iMac","chromium","2026-07-05","passed","2026-07-05","","search.spec.ts","",""
"","419","GoRestAPI - Verify Delete User - DELETE call test","chromium","2026-07-05","passed","2026-07-05","","api/users.api.spec.ts","",""
"","1823","@regression verify Forgot Password link with fixture test","chromium","2026-07-05","passed","2026-07-05","","loginpagefixture.spec.ts","",""
"","2801","@sanity Enter New User Info test Entering for - Roy - han","chromium","2026-07-05","passed","2026-07-05","","registration.spec.ts","",""
"","315","GoRestAPI - Verify Create User GET call test","chromium","2026-07-05","passed","2026-07-05","","api/users.api.spec.ts","",""
"","1800","GET - Get User test","chromium","2026-07-05","passed","2026-07-05","","api/users.api.schema.spec.ts","",""
"","1735","Login Page title test","chromium","2026-07-05","passed","2026-07-05","","loginpage.spec.ts","",""
"","427","PUT API = Update User test","chromium","2026-07-05","passed","2026-07-05","e2e GoRest API CRUD Operations Tests ","api/users.api.seprate.spec.ts","",""
"","2618","verify logo and footer on product page test","chromium","2026-07-05","passed","2026-07-05","","productPage.spec.ts","",""
"","429","DELETE API -- Delete User test","chromium","2026-07-05","passed","2026-07-05","e2e GoRest API CRUD Operations Tests ","api/users.api.seprate.spec.ts","",""
"","2466","verify all footers exist on the page test","chromium","2026-07-05","passed","2026-07-05","","homepagefix.spec.ts","",""
"","4224","Generate Product information and full details,","chromium","2026-07-05","passed","2026-07-05","","productPage.spec.ts","",""
"","2615","verify User able to logIn Successfully with fixture test","chromium","2026-07-05","passed","2026-07-05","","loginpagefixture.spec.ts","",""
"","2665","@sanity Enter New User Info test Entering for - ema - wotson","chromium","2026-07-05","passed","2026-07-05","","registration.spec.ts","",""
"","1873","Verify registration page title test","chromium","2026-07-05","passed","2026-07-05","","registration.spec.ts","",""
"","1","@regression Verify shopping cart product information test","chromium","2026-07-05","skipped","2026-07-05","","cartPage.spec.ts","",""
"","3961","verify user navigate to product page - macbook - MacBook Air","chromium","2026-07-05","passed","2026-07-05","","search.spec.ts","",""
"","1943","verify all footers exist on the page test","chromium","2026-07-05","passed","2026-07-05","","registration.spec.ts","",""
"","1105","GET -- Get location data test","chromium","2026-07-05","passed","2026-07-05","","api/amadeus.oauth2.spec.ts","",""
