"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","3513","@sanity Enter New User Info test Entering for - Roy - han","chromium","2026-07-05","passed","2026-07-05","","registration.spec.ts","",""
"","2930","@sanity invalid login test with -invalid@open.com - wrongPassword123","chromium","2026-07-05","passed","2026-07-05","","loginpagefixture.spec.ts","",""
"","2444","@sanity verify logo and footer on product page test","chromium","2026-07-05","passed","2026-07-05","","loginpagefixture.spec.ts","",""
"","2400","@sanityverify all footers exist on the page test","chromium","2026-07-05","passed","2026-07-05","","loginpagefixture.spec.ts","",""
"","2828","@sanity invalid login test with -pwtestbatch@open.com -","chromium","2026-07-05","passed","2026-07-05","","loginpagefixture.spec.ts","",""
"","2407","@sanity Login Page with fixture test","chromium","2026-07-05","passed","2026-07-05","","loginpagefixture.spec.ts","",""
"","3594","@sanity Enter New User Info test Entering for - kristi - shain","chromium","2026-07-05","passed","2026-07-05","","registration.spec.ts","",""
"","2888","@sanity Home Page title test with fixtures","chromium","2026-07-05","failed","2026-07-05","","homepagefix.spec.ts","",""
"","3546","@sanity Enter New User Info test Entering for - ema - wotson","chromium","2026-07-05","passed","2026-07-05","","registration.spec.ts","",""
"","2822","@sanity invalid login test with - - pw1234","chromium","2026-07-05","passed","2026-07-05","","loginpagefixture.spec.ts","",""
