"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2529","@sanity Home Page title test with fixtures","chromium","2026-07-08","passed","2026-07-08","","homepagefix.spec.ts","",""
"","1968","@sanity Login Page with fixture test","chromium","2026-07-08","passed","2026-07-08","","loginpagefixture.spec.ts","",""
"","2365","@sanity invalid login test with - - pw1234","chromium","2026-07-08","passed","2026-07-08","","loginpagefixture.spec.ts","",""
"","1988","@sanity verify logo and footer on product page test","chromium","2026-07-08","passed","2026-07-08","","loginpagefixture.spec.ts","",""
"","2970","@sanity Enter New User Info test Entering for - Roy - han","chromium","2026-07-08","passed","2026-07-08","","registration.spec.ts","",""
"","1863","@sanityverify all footers exist on the page test","chromium","2026-07-08","passed","2026-07-08","","loginpagefixture.spec.ts","",""
"","2978","@sanity Enter New User Info test Entering for - kristi - shain","chromium","2026-07-08","passed","2026-07-08","","registration.spec.ts","",""
"","2387","@sanity invalid login test with -pwtestbatch@open.com -","chromium","2026-07-08","passed","2026-07-08","","loginpagefixture.spec.ts","",""
"","2381","@sanity invalid login test with -invalid@open.com - wrongPassword123","chromium","2026-07-08","passed","2026-07-08","","loginpagefixture.spec.ts","",""
"","2962","@sanity Enter New User Info test Entering for - ema - wotson","chromium","2026-07-08","passed","2026-07-08","","registration.spec.ts","",""
